Temp,Audio,Humidity,CO2,Fire
46.62,0.906,18.5,2107.06,1
65.27,0.811,32.52,3356.56,1
13.17,0.22,20.46,615.02,0
39.05,0.036,56.42,1063.68,0
47.5,0.918,9.9,1673.26,1
10.14,0.176,67.8,975.02,0
34.31,0.482,69.49,553.63,0
66.1,0.522,25.05,1734.56,1
40.51,0.409,47.25,421.8,0
13.65,0.076,42.49,578.78,0
38.71,0.452,18.28,1206.75,0
14.51,0.101,25.19,544.19,0
65.41,0.888,8.39,1748.94,1
45.33,0.969,17.7,4230.89,1
43.09,0.437,66.76,437.55,0
14.33,0.109,53.19,738.91,0
19.37,0.273,27.11,918.37,0
84.09,0.445,25.57,4783.67,1
65.01,0.903,31.94,2097.97,1
30.04,0.424,64.58,1267.07,0
17.02,0.062,45.44,582.83,0
50.85,0.42,24.24,1291.93,1
83.92,0.468,21.86,2454.22,1
82.29,0.914,32.06,3905.1,1
67.27,0.536,18.79,4461.71,1
35.91,0.466,60.46,1229.23,0
40.91,0.165,30.82,554.6,0
29.65,0.387,29.74,927.42,0
14.8,0.038,40.03,929.3,0
51.6,0.594,6.76,4279.71,1
12.81,0.267,50.5,1032.6,0
65.49,0.547,12.51,2275.94,1
42.71,0.058,45.27,513.21,0
77.83,0.535,5.85,2951.41,1
30.31,0.364,35.57,709.57,0
30.2,0.467,55.49,1283.73,0
37.64,0.587,6.83,2507.21,1
67.26,0.687,5.87,1833.3,1
10.07,0.5,23.04,482.13,0
22.81,0.148,61.96,838.73,0
26.36,0.232,32.13,1030.43,0
53.14,0.444,17.95,4539.86,1
76.73,0.523,19.12,3365.82,1
78.78,0.531,15.85,3574.43,1
20.2,0.104,16.91,616.11,0
14.47,0.411,36.2,660.48,0
75.5,0.729,5.82,4376.3,1
46.72,0.851,21.39,4926.51,1
18.01,0.182,30.26,598.99,0
30.4,0.496,44.57,807.0,0
20.09,0.153,53.7,739.36,0
29.71,0.101,65.36,1074.73,0
19.13,0.147,55.42,821.95,0
27.11,0.37,48.47,1174.12,0
43.73,0.999,22.25,4093.55,1
79.08,0.899,33.62,2383.29,1
40.17,0.893,11.5,3456.71,1
40.66,0.162,25.82,1228.04,0
38.49,0.611,29.33,2509.72,1
83.86,0.636,7.86,4245.61,1
20.16,0.36,50.67,768.25,0
57.05,0.68,20.65,4689.63,1
26.06,0.212,26.68,1174.32,0
35.8,0.482,45.62,759.55,0
83.1,0.438,10.34,1896.6,1
41.65,0.621,16.92,1851.07,1
26.63,0.075,30.92,1267.64,0
86.74,0.717,6.54,1354.28,1
36.8,0.078,55.78,1049.15,0
44.78,0.555,11.39,2797.99,1
37.79,0.707,15.65,2155.93,1
29.16,0.39,25.72,847.55,0
85.25,0.967,7.39,1760.03,1
19.75,0.439,42.44,458.86,0
63.1,0.799,14.18,3489.51,1
72.61,0.726,34.77,4137.52,1
88.39,0.414,21.32,2100.02,1
49.86,0.908,15.31,3951.87,1
35.23,0.458,40.9,520.8,0
43.09,0.942,32.25,1750.07,1
40.38,0.144,30.37,621.72,0
83.19,0.802,6.19,2972.42,1
19.41,0.241,37.61,1129.61,0
27.58,0.11,27.2,887.5,0
36.39,0.045,62.8,837.06,0
22.88,0.188,28.92,1032.74,0
17.69,0.21,21.07,555.4,0
83.79,0.599,10.17,2003.04,1
89.74,0.549,33.83,4000.77,1
45.21,0.427,17.2,2331.95,1
40.84,0.474,32.23,1269.78,0
17.33,0.149,18.22,1115.89,0
18.5,0.003,35.3,730.13,0
65.86,0.526,29.79,3468.78,1
38.28,0.453,65.27,1060.94,0
19.96,0.438,41.45,637.97,0
42.53,0.796,7.41,4899.81,1
82.33,0.561,32.0,3270.33,1
57.33,0.961,16.37,2876.68,1
24.78,0.137,19.84,1001.69,0
26.76,0.048,26.16,537.04,0
39.65,0.919,14.61,1882.49,1
75.5,0.662,10.84,4604.91,1
56.12,0.562,8.54,1291.31,1
49.69,0.769,29.66,1362.92,1
18.1,0.197,66.23,457.1,0
83.41,0.881,10.63,4693.21,1
50.46,0.981,29.46,2005.56,1
42.65,0.892,32.03,1936.83,1
60.56,0.404,10.83,4980.83,1
16.86,0.394,35.66,769.26,0
44.28,0.077,22.43,1241.59,0
89.28,0.856,17.38,3792.43,1
88.27,0.996,33.13,1820.27,1
14.65,0.089,29.78,711.54,0
56.66,0.518,13.66,2389.43,1
35.1,0.16,32.93,676.76,0
85.63,0.423,28.81,1413.82,1
47.07,0.987,12.63,4345.89,1
28.89,0.075,55.66,764.56,0
14.53,0.046,40.54,585.5,0
55.32,0.994,7.11,1753.93,1
11.08,0.414,17.19,1235.62,0
31.65,0.297,51.13,714.2,0
30.44,0.168,40.28,490.52,0
53.21,0.417,33.26,4137.85,1
36.19,0.105,59.3,490.17,0
67.85,0.756,31.86,2039.12,1
78.93,0.978,21.31,2961.26,1
83.87,0.827,25.73,2135.94,1
28.9,0.176,29.92,984.95,0
44.96,0.944,31.36,3230.99,1
20.73,0.475,60.09,699.95,0
59.07,0.401,23.25,1353.82,1
33.37,0.03,47.53,511.44,0
58.12,0.715,20.12,3348.34,1
70.13,0.431,24.37,4014.37,1
49.2,0.596,23.88,2386.0,1
87.04,0.57,30.61,1270.32,1
65.52,0.71,5.11,2203.9,1
35.29,0.453,23.12,1172.99,0
55.94,0.993,29.71,4646.91,1
32.85,0.21,21.55,500.59,0
35.32,0.086,21.59,1153.19,0
38.8,0.479,31.44,2608.79,1
52.16,0.883,29.46,2245.26,1
38.15,0.723,14.85,3889.01,1
88.44,0.496,13.66,3057.24,1
40.19,0.394,62.68,1297.13,0
44.51,0.838,9.42,3993.41,1
38.39,0.849,17.91,4307.64,1
10.56,0.17,66.19,747.53,0
13.13,0.121,50.95,1147.65,0
21.14,0.017,20.03,993.65,0
52.08,0.436,12.73,4438.36,1
17.13,0.285,64.02,1043.83,0
50.87,0.752,33.63,3933.68,1
64.68,0.844,26.76,3024.31,1
45.02,0.923,20.03,2394.05,1
42.27,0.336,45.63,1251.38,0
43.56,0.218,51.17,1178.01,0
64.06,0.51,7.94,4350.4,1
39.95,0.082,30.58,1281.56,0
36.52,0.117,42.37,454.31,0
42.95,0.141,42.86,1159.71,0
20.23,0.035,17.01,530.37,0
13.18,0.07,18.46,766.42,0
37.04,0.224,58.01,869.79,0
50.13,0.793,31.35,3630.48,1
69.34,0.471,9.78,4362.53,1
38.84,0.047,67.99,530.11,0
16.42,0.191,28.51,689.48,0
27.78,0.389,20.11,870.11,0
82.95,0.826,9.58,3395.1,1
44.15,0.25,50.89,552.61,0
34.51,0.252,25.65,899.95,0
76.09,0.788,6.66,2711.13,1
36.48,0.545,21.95,2643.12,1
85.09,0.663,26.8,1486.95,1
77.1,0.981,30.65,4910.93,1
81.71,0.84,27.81,2869.88,1
51.41,0.484,20.17,3014.53,1
52.6,0.623,25.25,4684.15,1
56.86,0.637,33.2,3621.73,1
57.8,0.446,18.45,3996.64,1
10.35,0.439,48.74,1148.87,0
65.04,0.713,15.07,2437.24,1
83.53,0.514,14.36,4709.84,1
39.87,0.666,26.36,2656.28,1
28.68,0.115,64.45,715.53,0
31.78,0.269,41.35,966.51,0
39.93,0.604,6.18,3695.81,1
64.65,0.56,5.87,3260.97,1
64.86,0.669,26.84,4269.27,1
37.72,0.296,26.74,822.95,0
38.03,0.339,45.41,1204.68,0
29.16,0.456,61.5,1243.41,0
34.92,0.308,56.22,1128.87,0
89.06,0.679,20.31,4324.13,1
17.16,0.073,31.61,833.42,0
80.62,0.401,8.37,1991.6,1
23.04,0.489,20.42,1157.84,0
38.06,0.843,10.49,1396.85,1
58.08,0.809,10.29,4108.76,1
40.89,0.376,23.78,675.53,0
28.17,0.268,23.97,573.85,0
30.86,0.394,61.92,1109.21,0
13.9,0.355,17.69,924.29,0
88.22,0.794,25.01,3708.36,1
42.36,0.309,29.76,1295.41,0
36.41,0.353,27.97,1109.72,0
87.63,0.74,11.88,3824.25,1
20.1,0.17,36.57,926.34,0
75.79,0.506,24.73,2229.54,1
67.49,0.974,22.77,1542.78,1
24.84,0.394,56.46,429.34,0
21.87,0.285,20.08,636.62,0
40.23,0.253,27.99,697.74,0
39.07,0.403,12.12,4592.96,1
24.54,0.361,53.67,542.1,0
36.66,0.368,18.75,649.77,0
83.91,0.608,13.43,4587.7,1
71.07,0.636,18.8,1742.84,1
35.0,0.029,50.8,940.24,0
70.0,0.913,6.02,3853.8,1
62.83,0.882,28.75,3678.31,1
27.72,0.038,35.74,1268.37,0
30.13,0.484,58.79,1183.8,0
74.6,0.438,24.56,3895.36,1
31.48,0.163,55.09,1197.17,0
50.26,0.778,27.28,1260.48,1
10.07,0.355,32.17,658.6,0
21.87,0.05,33.8,776.38,0
12.77,0.445,38.71,1228.43,0
17.51,0.474,63.32,470.11,0
37.94,0.569,30.09,4555.29,1
17.97,0.466,21.53,677.08,0
19.58,0.383,53.17,1266.31,0
43.27,0.578,6.93,3654.92,1
73.25,0.492,13.18,4881.05,1
50.98,0.703,27.09,3659.85,1
60.59,0.894,20.58,4255.6,1
57.43,0.895,20.46,1747.51,1
20.55,0.425,34.16,858.17,0
77.57,0.465,22.56,2530.01,1
16.13,0.359,33.56,973.36,0
77.46,0.855,16.45,4975.26,1
31.56,0.171,19.74,1285.59,0
49.48,0.838,8.68,3545.21,1
15.52,0.161,67.9,780.7,0
66.13,0.864,14.03,4550.64,1
50.32,0.952,12.31,2246.74,1
76.33,0.513,6.77,4226.59,1
41.58,0.032,40.44,982.55,0
86.91,0.591,34.18,3473.41,1
27.31,0.184,47.64,1259.2,0
76.19,0.536,23.17,1935.1,1
72.08,0.491,7.58,3296.67,1
25.75,0.461,66.38,544.24,0
49.39,0.438,25.01,3047.24,1
36.2,0.532,20.3,1299.27,1
56.74,0.565,7.3,4884.22,1
26.06,0.268,41.01,1113.87,0
28.31,0.347,28.76,564.14,0
54.73,0.82,16.02,4075.19,1
42.66,0.246,43.69,509.76,0
58.27,0.835,10.54,3028.98,1
88.99,0.957,32.6,4628.98,1
78.1,0.635,33.99,4667.8,1
74.16,0.623,22.87,4975.41,1
37.51,0.1,37.61,1282.96,0
81.42,0.699,20.39,2044.69,1
87.56,0.446,20.42,4076.59,1
30.74,0.271,58.95,997.8,0
36.01,0.459,65.37,507.42,0
18.85,0.087,18.89,1102.5,0
11.83,0.316,16.72,490.76,0
67.44,0.493,16.81,2092.5,1
73.31,0.845,7.85,4124.81,1
50.98,0.565,29.42,3954.84,1
65.75,0.439,29.47,4498.76,1
46.73,0.744,15.45,2516.96,1
64.61,0.604,10.79,3145.63,1
80.87,0.479,26.21,1372.26,1
25.52,0.403,59.25,623.33,0
29.14,0.014,43.8,634.94,0
81.53,0.41,30.8,3909.08,1
31.9,0.377,40.16,752.91,0
20.31,0.245,26.33,602.85,0
35.14,0.976,27.44,1823.42,1
65.39,0.685,15.99,4756.75,1
51.15,0.702,26.61,1655.36,1
30.49,0.196,22.29,479.41,0
13.64,0.039,55.02,907.86,0
33.97,0.302,57.13,1189.0,0
15.32,0.164,59.68,747.54,0
59.55,0.943,13.48,1476.52,1
25.07,0.099,39.39,468.25,0
38.18,0.373,54.58,532.62,0
26.5,0.327,56.95,1282.5,0
44.84,0.732,5.39,2974.8,1
44.47,0.475,38.26,1073.25,0
85.46,0.854,22.36,2654.75,1
69.54,0.748,30.25,4984.26,1
21.5,0.401,48.83,810.7,0
36.0,0.625,30.86,2831.1,1
41.4,0.475,9.14,3962.61,1
38.23,0.124,66.83,1210.65,0
72.76,0.848,20.84,2623.82,1
84.18,0.872,23.81,4342.66,1
53.58,0.918,32.81,1740.89,1
75.89,0.932,32.78,2618.98,1
83.37,0.978,23.79,4542.88,1
14.18,0.342,17.09,1114.51,0
53.77,0.721,20.82,2310.52,1
29.44,0.135,18.22,885.45,0
47.74,0.822,34.84,4674.77,1
82.53,0.533,7.41,3467.72,1
37.28,0.982,7.41,2783.29,1
40.94,0.493,12.15,1617.94,1
84.2,0.432,19.19,4601.93,1
26.18,0.184,24.61,707.63,0
67.97,0.746,12.72,1526.12,1
42.3,0.646,19.25,4440.37,1
64.21,0.79,7.79,2978.19,1
79.74,0.673,16.57,3437.8,1
36.19,0.12,62.12,712.67,0
36.5,0.407,31.74,1131.15,0
40.25,0.408,48.42,740.08,0
22.67,0.029,41.24,481.95,0
47.37,0.648,6.87,4468.87,1
29.95,0.311,55.16,437.86,0
84.64,0.686,10.15,4500.43,1
86.59,0.409,11.05,3259.37,1
33.6,0.107,57.44,989.4,0
51.2,0.616,24.24,4977.09,1
65.08,0.885,29.95,4543.64,1
40.9,0.411,21.4,451.82,0
61.86,0.76,24.88,2225.11,1
57.38,0.46,21.7,4086.49,1
41.96,0.496,49.78,594.11,0
15.95,0.052,66.56,1071.38,0
29.45,0.12,19.03,1268.09,0
38.76,0.162,30.7,891.89,0
62.86,0.489,7.29,2874.23,1
32.93,0.227,41.58,549.15,0
84.78,0.743,22.96,3169.51,1
47.82,0.869,29.72,3989.37,1
31.09,0.145,58.84,1017.32,0
37.27,0.728,17.79,3936.52,1
67.64,0.855,19.06,2845.63,1
20.44,0.226,55.64,901.61,0
22.55,0.42,65.12,1252.62,0
59.11,0.661,23.15,1602.83,1
42.15,0.209,15.69,1171.07,0
83.34,0.932,31.99,3760.58,1
35.14,0.953,18.81,4138.99,1
22.28,0.466,56.61,1280.0,0
16.54,0.311,36.56,1204.36,0
28.4,0.468,31.96,530.15,0
79.65,0.83,24.38,2080.42,1
39.46,0.296,27.58,586.27,0
26.83,0.358,39.54,422.46,0
56.09,0.669,6.74,4053.21,1
57.18,0.409,25.07,4587.91,1
73.41,0.713,20.24,1440.14,1
48.74,0.605,5.61,4364.86,1
28.57,0.439,69.31,617.88,0
10.88,0.282,30.08,1293.69,0
24.78,0.455,25.34,904.04,0
82.2,0.585,9.89,1395.2,1
74.97,0.969,23.37,3094.3,1
20.86,0.352,27.23,905.14,0
27.13,0.336,34.19,1102.13,0
78.46,0.533,23.48,2115.37,1
37.18,0.701,8.68,4085.14,1
58.26,0.974,8.45,3029.05,1
29.97,0.163,65.22,456.69,0
74.8,0.594,13.3,3199.67,1
88.26,0.988,28.53,1226.42,1
79.29,0.927,21.77,2998.86,1
15.64,0.285,32.38,1239.42,0
13.22,0.21,50.26,1111.08,0
60.11,0.888,28.22,3031.41,1
13.73,0.017,21.23,879.2,0
21.81,0.317,31.65,657.43,0
19.33,0.319,34.87,1173.77,0
19.87,0.104,52.57,1078.51,0
33.57,0.188,60.37,582.86,0
57.78,0.534,25.33,1877.1,1
16.36,0.162,66.21,851.55,0
29.08,0.478,49.49,1215.35,0
37.47,0.329,25.62,579.36,0
75.52,0.598,13.75,1803.89,1
43.99,0.493,45.38,576.5,0
25.67,0.304,24.65,1058.61,0
56.13,0.795,28.88,4764.96,1
61.89,0.569,32.52,1391.58,1
37.32,0.453,28.0,562.28,0
18.66,0.328,65.83,721.98,0
53.35,0.435,21.67,1772.77,1
41.19,0.629,10.43,3412.27,1
37.58,0.979,7.5,2337.7,1
71.45,0.521,31.25,2357.69,1
40.83,0.231,65.92,1158.33,0
23.72,0.17,29.25,1107.63,0
48.23,0.603,22.82,3611.69,1
41.61,0.07,41.99,1166.39,0
40.22,0.082,22.24,815.17,0
40.47,0.465,28.47,585.62,0
40.56,0.411,57.78,660.05,0
37.66,0.463,21.36,4719.82,1
89.61,0.818,13.35,4136.95,1
44.3,0.526,15.9,4518.79,1
23.36,0.409,51.24,858.56,0
53.73,0.92,22.87,2697.48,1
44.84,0.196,29.41,1013.85,0
38.87,0.296,33.75,707.18,0
41.42,0.474,16.3,836.61,0
50.65,0.603,17.14,2469.91,1
19.33,0.177,42.12,1197.04,0
59.23,0.406,32.69,2379.39,1
87.11,0.613,16.73,2846.54,1
33.55,0.14,27.45,975.4,0
84.47,0.941,33.92,2861.03,1
52.74,0.921,21.07,1432.88,1
51.47,0.597,8.66,3676.0,1
74.37,0.863,26.93,3448.71,1
82.83,0.464,17.91,4251.2,1
45.8,0.882,13.5,2667.64,1
72.6,0.48,24.25,3726.05,1
33.89,0.042,58.92,1239.3,0
43.8,0.351,34.62,866.14,0
24.08,0.236,66.41,1198.78,0
83.09,0.553,25.35,1739.92,1
55.69,0.922,33.3,4526.28,1
26.38,0.074,16.31,1189.57,0
75.33,0.621,23.17,4423.62,1
30.14,0.119,46.97,482.43,0
30.87,0.4,56.27,747.05,0
86.3,0.986,11.33,3654.28,1
44.64,0.424,30.45,567.21,0
82.08,0.425,11.73,2296.34,1
31.77,0.355,67.83,851.87,0
26.63,0.402,52.41,1134.46,0
44.42,0.485,55.58,674.67,0
14.07,0.333,26.85,447.18,0
33.86,0.148,52.15,865.25,0
34.09,0.462,51.69,1217.43,0
17.92,0.222,65.86,1115.78,0
27.67,0.332,66.72,920.67,0
66.19,0.402,10.31,2710.39,1
42.92,0.253,31.13,1273.49,0
33.6,0.473,52.89,856.55,0
35.99,0.107,33.72,1070.48,0
28.9,0.388,62.35,1106.98,0
53.29,0.588,34.85,2779.4,1
42.87,0.264,43.62,936.68,0
10.3,0.398,42.82,1017.75,0
51.11,0.408,10.76,4378.57,1
48.21,0.589,30.39,2636.79,1
43.34,0.03,33.95,974.04,0
39.28,0.163,26.45,1085.98,0
34.67,0.493,61.91,642.1,0
43.99,0.068,34.75,682.13,0
47.01,0.52,15.5,2758.71,1
35.52,0.451,26.37,887.38,0
10.64,0.329,18.26,879.93,0
29.34,0.143,69.24,1010.2,0
46.51,0.791,18.98,3084.84,1
36.9,0.472,12.12,4273.74,1
76.81,0.894,18.37,1795.5,1
22.4,0.254,47.13,570.39,0
87.18,0.659,20.6,3942.55,1
23.88,0.168,27.13,1289.78,0
22.8,0.118,50.09,429.6,0
82.11,0.935,10.08,4052.06,1
37.31,0.478,13.45,4092.53,1
47.65,0.643,23.19,1604.66,1
35.47,0.452,59.83,475.29,0
56.8,0.642,12.33,3486.64,1
41.7,0.412,38.1,951.53,0
11.72,0.481,44.21,1073.4,0
86.5,0.71,15.68,4667.47,1
42.64,0.981,10.55,4298.6,1
53.17,0.545,22.27,3582.41,1
62.03,0.514,12.25,3791.38,1
35.53,0.874,31.65,3550.19,1
16.79,0.471,57.32,1017.35,0
72.0,0.974,20.73,4937.68,1
78.57,0.582,9.13,3717.62,1
29.38,0.441,39.24,1026.11,0
61.03,0.601,30.17,4225.49,1
27.43,0.341,16.28,1127.48,0
81.05,0.633,30.2,3748.18,1
55.95,0.936,19.77,2097.68,1
71.85,0.685,19.74,2594.21,1
39.49,0.207,67.1,510.01,0
32.25,0.205,16.89,484.45,0
12.13,0.371,69.05,635.22,0
39.45,0.726,23.84,3074.83,1
42.73,0.032,54.75,482.89,0
57.0,0.731,17.9,4070.25,1
85.24,0.92,16.19,3121.04,1
28.05,0.045,58.1,1087.78,0
18.42,0.422,25.17,455.53,0
17.64,0.4,20.82,1179.37,0
51.42,0.584,31.95,4066.83,1
15.14,0.331,59.69,905.67,0
37.67,0.497,38.26,525.47,0
12.78,0.036,18.08,542.68,0
16.82,0.118,31.63,527.2,0
67.01,0.977,13.17,2871.67,1
39.99,0.042,28.74,469.52,0
39.87,0.483,25.41,1105.74,0
20.38,0.04,63.46,1184.83,0
44.69,0.441,17.54,1165.91,0
24.68,0.433,46.19,1258.99,0
69.78,0.594,16.7,2542.89,1
38.33,0.144,44.57,860.07,0
50.34,0.877,11.33,3022.56,1
18.68,0.298,35.65,699.5,0
70.44,0.568,31.9,3983.23,1
65.0,0.688,9.34,3197.43,1
70.43,0.776,9.75,3981.36,1
25.33,0.115,48.29,424.95,0
